country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
SAU,Saudi Arabia,SHAROURA,WRI1030706,261.52,17.3300,47.0930,Oil,,,,2014.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1028188,,,,,,,,,,,,,,703.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,SHEDGUM,WRI1030707,1100.5,25.6800,49.4330,Gas,,,,1983.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1028174|1056635,,,,,,,,,,,,,,6741.11,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,SHEDGUM CO-GENERATION GAS PLANT,WRI1030708,496.7,25.6800,49.4490,Gas,,,,2015.0,Tihama Power Generation Company,ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,,,,,,,,,,,,,,,3042.53,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,SHUAIBA (SWCC),WRI1030709,910.7999999999997,17.6600,42.0630,Oil,,,,2000.0,Saline Water Conversion Corporation (SWCC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,,,,,,,,,,,,,,,2451.55,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,SHUQAIQ IWPP,WRI1030710,1020.0,17.6600,42.0770,Oil,,,,2010.0,Shuqiaq Water and Electricity Company,ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1063701,,,,,,,,,,,,,,2745.48,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,TABARJAL,WRI1030711,103.2,30.4600,38.2140,Oil,,,,2002.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1030723,,,,,,,,,,,,,,277.77,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,TABUK-1,WRI1030712,102.00000000000003,28.4700,36.5190,Oil,,,,1982.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1030724,,,,,,,,,,,,,,274.54,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,TABUK-2,WRI1030713,985.4000000000003,28.4700,36.5210,Oil,,,,2013.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1030725,,,,,,,,,,,,,,2652.35,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,TABUK-3,WRI1030714,20.0,28.4700,36.5170,Oil,,,,2016.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1030726,,,,,,,,,,,,,,53.83,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,TABUK-4,WRI1030715,20.0,28.4700,36.5220,Oil,,,,2016.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,,,,,,,,,,,,,,,53.83,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,TAIF,WRI1030716,126.6,21.2800,40.4070,Oil,,,,1981.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1028195,,,,,,,,,,,,,,340.76,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,TIHAMA,WRI1030717,742.7500000000001,19.1000,41.1560,Oil,,,,2008.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1028190,,,,,,,,,,,,,,1999.22,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,UTHMANIYAH,WRI1030718,320.0,25.1900,49.3120,Gas,,,,1975.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1074053,,,,,,,,,,,,,,1960.16,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,UTHMANIYAH CO-GENERATION GAS PLANT,WRI1030719,496.7,25.1900,49.3070,Gas,,,,2015.0,Tihama Power Generation Company,ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1056636,,,,,,,,,,,,,,3042.53,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,Waad Al Shamal ISCC,WKS0071108,50.0,31.6200,38.7950,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,106.22,105.59,105.11,104.09,105.04,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
SAU,Saudi Arabia,Wasit Gas Plant,WRI1030720,1412.0,27.1100,49.3120,Gas,,,,2016.0,Saudi Aramco,ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1085623,,,,,,,,,,,,,,8649.21,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,YANBU (ARAM),WRI1030721,82.5,23.9800,38.2570,Gas,,,,2005.0,Saudi Aramco,ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,,,,,,,,,,,,,,,505.35,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,YANBU (SEC),WRI1030722,54.300000000000004,24.1200,38.1180,Oil,,,,1983.0,Saudi Electricity Company (SEC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1028215,,,,,,,,,,,,,,146.15,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,YANBU (SWCC),WRI1030723,519.8,23.8600,38.3830,Oil,,,,1998.0,Saline Water Conversion Corporation (SWCC),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1027866,,,,,,,,,,,,,,1399.12,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,YANBU PLANT,WRI1030724,865.8,23.9700,38.2190,Oil,Gas,,,2013.0,Power and Water Utility Company for Jubail and Yanbu (MARAFIQ),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1033604,,,,,,,,,,,,,,2330.43,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SAU,Saudi Arabia,YANBU PLANT 2,WRI1030725,825.0,23.8700,38.3660,Oil,,,,2016.0,Power and Water Utility Company for Jubail and Yanbu (MARAFIQ),ECRA,http://www.ecra.gov.sa/en-us/DataAndStatistics/NationalRecord/StationCapacities/Pages/Home.aspx,WRI,1070899,,,,,,,,,,,,,,2220.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
